From the Tournament-Database of Chess-Results http://chess-results.com;;;;;;;;;;;;;;;;;;
Moscow Open 2018_A ;;;;;;;;;;;;;;;;;;
Rk.;;Name;Rtg;FED;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;Pts. ;TB1;TB2;TB3;TB4
137;FM;Geshko Aleksey ;2260;RUS; 92w0;216b1;107w0;196b1; 39w½; 88b½; 83w½;111b0;140w½;4;39;37,5;0;14,75
138;;Navrodskiy Boris ;2101;RUS;0;131b½;134w1; 64w0;156b0;166b1;161w1; 81w½; 89b0;4;39;35,5;0;18,5
139;CM;Aleksanyan Hrant ;2251;ARM;106b0;212w1;111b½;119w1; 69b½; 48w0;144b0;129w½;152b½;4;38,5;36,5;0;15,5
140;;Makarian Rudik ;2138;RUS;0;109b½;150w1; 49w0; 97b0;215w1;156b1; 73w0;137b½;4;37,5;36;0;15,75
141;;Odegov Artem ;2091;RUS;144b0;112w½;218b1;104w0;199b0;118w½;150b1;124w1; 66b0;4;37,5;34,5;0;15,5
142;IM;Borisenko Viacheslav ;2330;UKR;210w1; 15b0;143w1; 83b0;126w0;162b1; 98w0;168b½;136w½;4;37;35;0;13,25
143;;Tsybikov Tumen ;2184;RUS;182w1; 16b0;142b0;135w0;211b1;169w1; 85b0;132w½;122b½;4;37;34,5;0;13,5
144;FM;Boiarintsev Vitaly ;2364;RUS;141w1; 92b0;113w0;162b0;196w1;158b1;139w1; 61b0; 78w0;4;37;34;0;14,5
145;;Ismagilov Damir ;2143;RUS; 69b0;218w½; 97b½;102b0;149w1;114w½;103b0;165w½;186b1;4;36,5;33,5;0;14,75
146;;Dudin Gleb ;2073;RUS; 50b0;199w½;112b0;218w½;161w½;193b1;120w½;159b1; 86w-;4;36;33;0;16,25
147;FM;Martynyuk Elizaveta ;2284;RUS; 27b0;176w0;175b0;212w1;190b1;121w1;171b1; 88b0; 79w0;4;35,5;33,5;0;13
148;CM;Vasilyev Alexey ;1968;RUS; 24b0;155w0;208b1;164w0;203w1;188b1;116b½; 82w0;132b½;4;34;32;0;11,75
149;;Pavlov Mark ;1900;RUS; 64b0;164w0;168b1; 56w0;145b0;196b1;205w½;170w1;155b½;4;34;31,5;0;13
150;FM;Kholopov Alexander A. ;2305;RUS;183b½;185w0;140b0;190w½;121b0;207b1;141w0;195w1;189b1;4;34;31,5;0;12,75
151;CM;Ochirbat Lkhagvajamts ;1828;MGL; 47w0;158b0;216w0;-1;189b½;117w1;199b1; 72w½; 85b0;4;33,5;32;0;12,75
152;;Nuristani Iman ;2104;RUS; 65w0;130b0;210w1; 38b½;131w0;161b0;203w1;176b1;139w½;4;33,5;31,5;0;12,25
153;;Vinogradov Vladimir ;2120;RUS;100b0; 38w0;204b0;217w1;215b½;194w½;210b1;186w1; 90b0;4;28;27;0;8
154;FM;Gurvich Vitaly ;2259;RUS; 31b0;177w1;119b½;116w½; 55b½;100w½; 81b½; 46w0;117b-;3,5;44;40,5;0;17,75
155;IM;Ageichenko Genadi A ;2238;RUS; 15w0;148b1; 83w0;160b1; 54w0;195b1; 91w0; 78b0;149w½;3,5;41,5;38,5;0;12,5
156;;Matyunin Maxim ;2261;RUS; 13w0;196b1; 31w0;174b½;138w1; 68b0;140w0;205b1;105w0;3,5;40,5;38;0;11,75
157;;Zaika Daniil ;2043;RUS; 29w½; 89b½; 70w½;109b0;130w0;181b1;169w½;136b½;120w0;3,5;40;36,5;0;15,25
158;;Kutsanyan Andranik ;2202;UKR; 11b0;151w1;135b1; 48w0; 66b0;144w0;179b1;116w0;171b½;3,5;40;36,5;0;12,75
159;;Dolsonov Ayusha ;2218;RUS;220b½; 32w0;195b1; 81w½; 50b0;204w1; 49b0;146w0;177b½;3,5;39,5;37;0;11,75
160;;Smaglov Konstantin ;2056;RUS; 49b½; 82w½;122b0;155w0;218b1;164w1; 72b½; 50w0;114b0;3,5;39,5;36,5;0;14,25
