Uit de toernooibestanden van Chess Results
43rd Olympiad Batumi 2018 Open ;0w0 vervangen door zwz
http://chess-results.com/tnr368908.aspx?lan=17&art=63&flag=30
Rk.;Mannschaft;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;10.Rd;11.Rd
141;Jersey;89b0;135w1;170b1½;163w2½;172b4;37w0;167b2;91w½;132b½;178w3;171b4
142;Mauritius;50w0;106b2;79w0;129b2;161w2½;117b0;147w1½;153w1;174b3½;175w3;130b2
143;Kenya;36b0;109w1½;148b2½;127b2½;118w2½;64w0;55b0;122w0;134b2;139w1½;160b2½
144;Guernsey;86b0;127b½;177w3;112w0;133b1½;170b3;130w1;146b1;168w3;166b2½;131w2
145;Macau;51b0;76w0;138b1½;184w3½;122b1½;165w2;169b3;167w3;89b1;164w2½;91w0
146;Sao Tome & Principe;85b0;91w0;179w3½;159b1½;102b0;163w3;94b0;144w3;155w2½;107b1;148w2
147;Somalia;zwz;104w0;160w2;154b1;173b2;182w4;142b2½;53b0;115w0;155b3;135w2
148;Ethiopia;22w0;92b0;143w1½;183w4;171b2;158b4;152w4;123b1½;97w½;138w1;146b2
149;Cyprus;61b½;162w4;132b1½;60w½;168w4;129b2½;120w2½;65b½;78b½;113w1½;121w1
150;Netherlands Antilles;16w0;111w1½;184b4;140w1½;153b2½;81b1½;162w2;131b½;159w2;154b1½;175w3
151;Thailand;11w0;183b4;72w1;168b3;107w½;108b2½;119w4;70b0;75w½;115b1½;116b½
152;Ghana;67b0;58w0;161w3;97b3;106w1;101w2;148b0;110b1½;163w4;103w0;153b2
153;Guam;107w0;132b1;169b2;164w2;150w1½;179b3;166w½;142b3;140b1½;159w2;152w2
154;Sierra Leone;103w½;139b½;164b2;147w3;76b0;157w2;115b1;163w2;172b2;150w2½;114b1
155;Swaziland;88b0;100w½;120b1½;165w3;125b1;166b1;170w2½;175w2½;146b1½;147w1;174w3½
156;Cameroon;78w0;97b0;171b1;174w3;124w0;131b2;165b1½;177w2;173w3;169b4;118w1½
157;Saudi Arabia;44w0;122w0;180b3;100w2;93b0;154b2;135w2½;99b2;136w0;119b½;161w2
158;Eritrea;101b1;159w0;176b2;169w3;91b0;148w0;110w½;180b3;165b3;135w2;120b0
159;Qatar;35b0;158b4;69w1;146w2½;112b½;72w½;108b0;135w2;150b2;153b2;129w0
160;San Marino;37w0;108w1;147b2;80b1½;170w3½;171b1½;172b2½;165w2½;125w0;91b½;143w1½
161;Papua New Guinea;71b0;131w1½;152b1;176w4;142b1½;164w1½;178b4;137w1;171b½;182w3½;157b2
162;Bermuda;65w0;149b0;130b3;99w1;127w1½;176b3;150b2;87w0;135b1½;165w1½;181w3
163;Nauru;136w0;59w½;115b1;141b1½;184w4;146b1;176w3½;154b2;152b0;172w2;166w2
164;Aruba;57b0;126b0;154w2;153b2;130w1;161b2½;173w2½;113w½;138b2;145b1½;127w½
165;Senegal;75b0;98w0;168b1;155b1;183w3;145b2;156w2½;160b1½;158w1;162b2½;128w1
166;Lesotho;72b0;125w0;173w3;118b0;128b1½;155w3;153b3½;78w0;120b½;144w1½;163b2
167;Ivory Coast;zwz;180b3;57w0;135w2½;73b½;99b1;141w2;145b1;133w2½;124b1;126w0
168;Tanzania;55w0;81b½;165w3;151w1;149b0;174b3;129w½;138b1;144b1;173w2;180w2½
169;Gambia;73b0;117b0;153w2;158b1;177w1½;183b3½;145w1;172w2;170b2½;156w0;173b2
170;Cape Verde;77b0;102w0;141w2½;101b0;160b½;144w1;155b1½;183w3;169w1½;181b2;182b3
171;Mauritania;54b0;99b½;156w3;119b0;148w2;160w2½;101b0;136b0;161w3½;118b1;141w0
172;Burundi;zwz;173b3;136w0;139b0;141w0;180b3;160w1½;169b2;154w2;163b2;133w½
173;Congo;zwz;172w1;166b1;177b2;147w2;175w4;164b1½;134w1;156b1;168b2;169w2
174;Togo;94w0;119b½;137w1½;156b1;178w3;168w1;181b3½;140w1;142w½;179b4;155b½
175;Bahamas;123w0;90w½;183b3½;105w0;104b0;173b0;179w4;155b1½;177w4;142b1;150b1
176;Timor Leste;74b0;121b0;158w2;161b0;180w2;162w1;163b½;181w2;184b4;133b1;178w2
177;Djibouti;84w0;112b0;144b1;173w2;169b2½;80w0;131w½;156b2;175b0;183w1½;184b3½
178;Palau;56w0;96b0;114w1;130w0;174b1;184b3;161w0;179b2;180w2½;141b1;176b2
179;Central African Republic;182b1;118w0;146b½;180w2½;135b1;153w1;175b0;178w2;181b2;174w0;183b2½
180;Seychelles;87b½;167w1;157w1;179b1½;176b2;172w1;182b2½;158w1;178b1½;184w2½;168b1½
181;Rwanda;0wz;184w3½;92b0;108b0;117w0;138b½;174w½;176b2;179w2;170w2;162b1
182;US Virgin Islands;179w3;69b0;94w0;106b0;129w½;147b0;180w1½;184w2;183b2½;161b½;170w1
183;Gabon;105b0;151w0;175w½;148b0;165b1;169w½;184b3;170b1;182w1½;177b2½;179w1½
184;Antigua and Barbuda;95w0;181b½;150w0;145b½;163b0;178w1;183w1;182b2;176w0;180b1½;177w½
185;Pakistan;zwz;zwz;zwz;zwz;zwz;zwz;zwz;zwz;zwz;zwz;zwz
